lane,lane_label,lane_order,n_physical,delay_dt,dt_ns,metric,dimensions,reference_dimension,comparison_dimension,source_simulation_lanes,contains_theory_baseline,contains_explicit_theory_mixing,d2_fill_ratio,d2_value,d2_ci_low,d2_ci_high,d3_fill_ratio,d3_value,d3_ci_low,d3_ci_high,d4_fill_ratio,d4_value,d4_ci_low,d4_ci_high,delta_d4_minus_d2,significant_d4_minus_d2,delta_d4_minus_d3,significant_d4_minus_d3
hardware,IBM hardware lane,2,2,64,256.0,in_subspace_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8601221008372469,0.8369715733109327,0.8812250992664038,0.75,0.8579687711895546,0.8454574041052526,0.8696771137490416,1.0,0.765294803513953,0.7554900814435518,0.7752481173286326,-0.09482729732329398,True,-0.09267396767560165,True
hardware,IBM hardware lane,2,2,128,512.0,in_subspace_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8632675257609982,0.8416974859954386,0.8827641612596269,0.75,0.8539862002883849,0.8429426438194302,0.8662038926616743,1.0,0.765085582406098,0.7539171879829678,0.7747993190464771,-0.09818194335490016,True,-0.08890061788228687,True
aer,Aer circuit lane,1,2,0,0.0,process_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9454506894532545,0.9373078724165662,0.9512423279088384,0.75,0.9127828847642746,0.9065835132404731,0.9183247437449247,1.0,0.8715419520136447,0.8642753474712437,0.8774068266432918,-0.0739087374396098,True,-0.0412409327506299,True
aer,Aer circuit lane,1,2,2048,455.1111111111111,process_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9419018519425955,0.9334682277180963,0.9485493614713043,0.75,0.9038880982206741,0.8974038890042357,0.9102992338324495,1.0,0.8611528553908505,0.8547806941748737,0.868050376978672,-0.08074899655174494,True,-0.04273524282982355,True
aer,Aer circuit lane,1,2,4096,910.2222222222222,process_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9322056969831501,0.9252650116754013,0.9392119234114477,0.75,0.894539016800801,0.8885019074784866,0.9006436084685554,1.0,0.8504048143856917,0.8438596972308354,0.8551390718158977,-0.08180088259745844,True,-0.044134202415109236,True
aer,Aer circuit lane,1,2,8192,1820.4444444444443,process_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.920996942577687,0.9144607901400458,0.9280950606765731,0.75,0.8781155825649992,0.8718000048857706,0.8837626323292319,1.0,0.8297952083736937,0.8248220405162476,0.8345169272115114,-0.09120173420399336,True,-0.048320374191305526,True
hardware,IBM hardware lane,2,2,0,0.0,process_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8789703753170026,0.8435870275665681,0.917165074088021,0.75,0.7420897678611658,0.7065467273273808,0.7740325327905538,1.0,0.627742944635395,0.60588093275394,0.6535384055647165,-0.2512274306816076,True,-0.11434682322577072,True
hardware,IBM hardware lane,2,2,64,256.0,process_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.7291120687025285,0.6672360512836645,0.7748081474290606,0.75,0.6665836004869312,0.6352270130940261,0.6967133383420485,1.0,0.4938993085727349,0.4667845978233834,0.5140004784231255,-0.23521276012979364,True,-0.17268429191419632,True
hardware,IBM hardware lane,2,2,128,512.0,process_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.7298150149282722,0.6767928134976733,0.7779822797776782,0.75,0.6927617658762809,0.658691442482569,0.7241978715814962,1.0,0.5052621495193103,0.48422672660829186,0.5293974712353944,-0.2245528654089619,True,-0.18749961635697066,True
aer,Aer circuit lane,1,2,0,0.0,average_gate_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9636337929688363,0.9582052482777108,0.967494885272559,0.75,0.9345871635732059,0.9299376349303549,0.9387435578086936,1.0,0.8972335616109158,0.8914202779769951,0.9019254613146335,-0.0664002313579205,True,-0.037353601962290095,True
aer,Aer circuit lane,1,2,2048,455.1111111111111,average_gate_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9612679012950636,0.9556454851453975,0.9656995743142028,0.75,0.9279160736655055,0.9230529167531768,0.9327244253743372,1.0,0.8889222843126803,0.883824555339899,0.8944403015829376,-0.07234561698238329,True,-0.03899378935282527,True
aer,Aer circuit lane,1,2,4096,910.2222222222222,average_gate_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9548037979887667,0.9501766744502675,0.9594746156076319,0.75,0.9209042626006007,0.9163764306088649,0.9254827063514166,1.0,0.8803238515085533,0.8750877577846684,0.8841112574527182,-0.07447994648021339,True,-0.04058041109204735,True
aer,Aer circuit lane,1,2,8192,1820.4444444444443,average_gate_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9473312950517914,0.9429738600933639,0.9520633737843822,0.75,0.9085866869237493,0.903850003664328,0.9128219742469239,1.0,0.863836166698955,0.859857632412998,0.8676135417692091,-0.08349512835283635,True,-0.04475052022479431,True
hardware,IBM hardware lane,2,2,0,0.0,average_gate_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.9193135835446685,0.8957246850443787,0.9447767160586806,0.75,0.8065673258958743,0.7799100454955356,0.8305243995929154,1.0,0.7021943557083161,0.6847047462031519,0.7228307244517732,-0.2171192278363524,True,-0.1043729701875582,True
hardware,IBM hardware lane,2,2,64,256.0,average_gate_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8194080458016857,0.7781573675224429,0.8498720982860403,0.75,0.7499377003651984,0.7264202598205195,0.7725350037565363,1.0,0.595119446858188,0.5734276782587068,0.6112003827385004,-0.22428859894349773,True,-0.1548182535070104,True
hardware,IBM hardware lane,2,2,128,512.0,average_gate_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8198766766188483,0.7845285423317823,0.8519881865184521,0.75,0.7695713244072105,0.7440185818619267,0.7931484036861222,1.0,0.6042097196154481,0.5873813812866335,0.6235179769883156,-0.21566695700340022,True,-0.16536160479176243,True
